"Rank","LeadSponsorName","Condition"
513,"Fondation Ophtalmologique Adolphe de Rothschild","Multiple Sclerosis"
514,"Universita di Verona","Multiple Sclerosis"
515,"Fondation Ophtalmologique Adolphe de Rothschild","Multiple Sclerosis"
516,"Lille Catholic University","Multiple Sclerosis"
517,"Fondation Ophtalmologique Adolphe de Rothschild","Multiple Sclerosis"
518,"Oregon Health and Science University","Multiple Sclerosis"
519,"Central Hospital, Nancy, France","Multiple Sclerosis"
520,"Fondation Ophtalmologique Adolphe de Rothschild","Multiple Sclerosis"
521,"Lille Catholic University","Multiple Sclerosis"
522,"University of Aarhus","Multiple Sclerosis"
523,"University of British Columbia","Multiple Sclerosis"
524,"Universitair Ziekenhuis Brussel","Multiple Sclerosis"
525,"Centre Hospitalier Universitaire de Besancon","Multiple Sclerosis"
526,"Nantes University Hospital","Multiple Sclerosis"
527,"Federico II University","Multiple Sclerosis"
528,"Johns Hopkins University","Multiple Sclerosis"
529,"Duke University","Multiple Sclerosis"
530,"VA Office of Research and Development","Multiple Sclerosis"
531,"Ad scientiam","Multiple Sclerosis"
532,"Hospital General Universitario Gregorio Marañon","Multiple Sclerosis"
533,"Genentech, Inc.","Multiple Sclerosis"
534,"Brugmann University Hospital","Multiple Sclerosis"
535,"CHU de Reims","Multiple Sclerosis"
536,"Celgene","Multiple Sclerosis"
537,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
538,"Dokuz Eylul University","Multiple Sclerosis"
539,"Biogen","Multiple Sclerosis"
540,"University at Buffalo","Multiple Sclerosis"
541,"University of Erlangen-Nürnberg","Multiple Sclerosis"
542,"University Hospital, Clermont-Ferrand","Multiple Sclerosis"
543,"University of Copenhagen","Multiple Sclerosis"
544,"Oregon Health and Science University","Multiple Sclerosis"
545,"Mount Sinai Rehabilitation Hospital","Multiple Sclerosis"
546,"Bayer","Multiple Sclerosis"
547,"University of Belgrade","Multiple Sclerosis"
548,"NYU Langone Health","Multiple Sclerosis"
549,"San Francisco State University","Multiple Sclerosis"
550,"Charite University, Berlin, Germany","Multiple Sclerosis"
551,"TG Therapeutics, Inc.","Multiple Sclerosis"
552,"NHS Greater Glasgow and Clyde","Multiple Sclerosis"
553,"Virginia Simnad","Multiple Sclerosis"
554,"Biocad","Multiple Sclerosis"
555,"Lille Catholic University","Multiple Sclerosis"
556,"Ohio State University","Multiple Sclerosis"
557,"University of Minnesota","Multiple Sclerosis"
558,"Fondazione Don Carlo Gnocchi Onlus","Multiple Sclerosis"
559,"University Hospital, Bordeaux","Multiple Sclerosis"
560,"Sheffield Teaching Hospitals NHS Foundation Trust","Multiple Sclerosis"
561,"Hasselt University","Multiple Sclerosis"
562,"Multiple Sclerosis Center of Northeastern New York","Multiple Sclerosis"
563,"Griffin Hospital","Multiple Sclerosis"
564,"Sarah Morrow","Multiple Sclerosis"
565,"Centro de Hematología y Medicina Interna","Multiple Sclerosis"
566,"NYU Langone Health","Multiple Sclerosis"
567,"Centre Hospitalier Universitaire de Nīmes","Multiple Sclerosis"
568,"Biogen","Multiple Sclerosis"
569,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
570,"State University of New York at Buffalo","Multiple Sclerosis"
571,"Oregon Health and Science University","Multiple Sclerosis"
572,"London Health Sciences Centre","Multiple Sclerosis"
573,"Biogen","Multiple Sclerosis"
574,"Hacettepe University","Multiple Sclerosis"
575,"Clinique Neuro-Outaouais","Multiple Sclerosis"
576,"University Hospital, Antwerp","Multiple Sclerosis"
577,"Rambam Health Care Campus","Multiple Sclerosis"
578,"Cliniques universitaires Saint-Luc- Université Catholique de Louvain","Multiple Sclerosis"
579,"AbbVie","Multiple Sclerosis"
580,"Stony Brook University","Multiple Sclerosis"
581,"AbbVie","Multiple Sclerosis"
582,"University of Nottingham","Multiple Sclerosis"
583,"University of Colorado, Denver","Multiple Sclerosis"
584,"Centre Hospitalier Universitaire de Nice","Multiple Sclerosis"
585,"Portland VA Medical Center","Multiple Sclerosis"
586,"Sheba Medical Center","Multiple Sclerosis"
587,"Celgene","Multiple Sclerosis"
588,"Klinik Valens","Multiple Sclerosis"
589,"University of Michigan","Multiple Sclerosis"
590,"Hadassah Medical Organization","Multiple Sclerosis"
591,"University of Nebraska","Multiple Sclerosis"
592,"University Hospital, Caen","Multiple Sclerosis"
593,"Nordlandssykehuset HF","Multiple Sclerosis"
594,"Biogen","Multiple Sclerosis"
595,"Biogen","Multiple Sclerosis"
596,"The University of Texas Health Science Center, Houston","Multiple Sclerosis"
597,"University Hospital, Caen","Multiple Sclerosis"
598,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
599,"Charite University, Berlin, Germany","Multiple Sclerosis"
600,"University of Glasgow","Multiple Sclerosis"
601,"Teva Pharmaceutical Industries, Ltd.","Multiple Sclerosis"
602,"Kessler Foundation","Multiple Sclerosis"
603,"Hasselt University","Multiple Sclerosis"
604,"Faculdade de Ciências Médicas da Santa Casa de São Paulo","Multiple Sclerosis"
605,"Carmel Medical Center","Multiple Sclerosis"
606,"Bayer","Multiple Sclerosis"
607,"Accelerated Cure Project for Multiple Sclerosis","Multiple Sclerosis"
608,"University of Nottingham","Multiple Sclerosis"
609,"University of Nottingham","Multiple Sclerosis"
610,"Pfenex, Inc","Multiple Sclerosis"
611,"The University of Texas Health Science Center, Houston","Multiple Sclerosis"
612,"Universita di Verona","Multiple Sclerosis"
613,"University of Illinois at Urbana-Champaign","Multiple Sclerosis"
614,"Johns Hopkins University","Multiple Sclerosis"
615,"Weill Medical College of Cornell University","Multiple Sclerosis"
616,"Delta Crystallon BV","Multiple Sclerosis"
617,"Delta Crystallon BV","Multiple Sclerosis"
618,"University Hospital Inselspital, Berne","Multiple Sclerosis"
619,"Rocky Mountain MS Research Group, LLC","Multiple Sclerosis"
620,"University Hospital, Basel, Switzerland","Multiple Sclerosis"
621,"Biogen","Multiple Sclerosis"
622,"Tel-Aviv Sourasky Medical Center","Multiple Sclerosis"
623,"Actelion","Multiple Sclerosis"
624,"Oregon Health and Science University","Multiple Sclerosis"
625,"University Hospital of Ferrara","Multiple Sclerosis"
626,"University Hospital of Ferrara","Multiple Sclerosis"
627,"Brigham and Women's Hospital","Multiple Sclerosis"
628,"Texas Tech University Health Sciences Center","Multiple Sclerosis"
629,"Washington University School of Medicine","Multiple Sclerosis"
630,"Biogen","Multiple Sclerosis"
631,"Portland VA Medical Center","Multiple Sclerosis"
632,"McGill University","Multiple Sclerosis"
633,"Jens Bansi","Multiple Sclerosis"
634,"University Hospital, Toulouse","Multiple Sclerosis"
635,"Mount Sinai Rehabilitation Hospital","Multiple Sclerosis"
636,"Haley Duncanson","Multiple Sclerosis"
637,"University Hospital, Bordeaux","Multiple Sclerosis"
638,"Fondazione Don Carlo Gnocchi Onlus","Multiple Sclerosis"
639,"Universitair Ziekenhuis Brussel","Multiple Sclerosis"
640,"Rennes University Hospital","Multiple Sclerosis"
641,"Biogen","Multiple Sclerosis"
642,"Clinique Neuro-Outaouais","Multiple Sclerosis"
643,"Centre hospitalier de l'Université de Montréal (CHUM)","Multiple Sclerosis"
644,"Brown, Theodore R., M.D., MPH","Multiple Sclerosis"
645,"University of Manitoba","Multiple Sclerosis"
646,"University of Illinois at Urbana-Champaign","Multiple Sclerosis"
647,"Fondazione Don Carlo Gnocchi Onlus","Multiple Sclerosis"
648,"University of Maryland, College Park","Multiple Sclerosis"
649,"Institut fuer Physiotherapieforschung","Multiple Sclerosis"
650,"Biogen","Multiple Sclerosis"
651,"National University of Natural Medicine","Multiple Sclerosis"
652,"Hasselt University","Multiple Sclerosis"
653,"Hasselt University","Multiple Sclerosis"
654,"Oakland University","Multiple Sclerosis"
655,"IRCCS National Neurological Institute ""C. Mondino"" Foundation","Multiple Sclerosis"
656,"American CryoStem Corporation","Multiple Sclerosis"
657,"University of Illinois at Urbana-Champaign","Multiple Sclerosis"
658,"University of California, Los Angeles","Multiple Sclerosis"
659,"University of Illinois at Urbana-Champaign","Multiple Sclerosis"
660,"University at Buffalo","Multiple Sclerosis"
661,"University of Colorado, Denver","Multiple Sclerosis"
662,"Weill Medical College of Cornell University","Multiple Sclerosis"
663,"University of Limerick","Multiple Sclerosis"
664,"Kessler Foundation","Multiple Sclerosis"
665,"Kessler Foundation","Multiple Sclerosis"
666,"Celgene","Multiple Sclerosis"
667,"Habilita, Ospedale di Sarnico","Multiple Sclerosis"
668,"Niguarda Hospital","Multiple Sclerosis"
669,"University Hospital, Bordeaux","Multiple Sclerosis"
670,"State University of New York at Buffalo","Multiple Sclerosis"
671,"University of Deusto","Multiple Sclerosis"
672,"Yale University","Multiple Sclerosis"
673,"Coordinación de Investigación en Salud, Mexico","Multiple Sclerosis"
674,"University of Illinois at Urbana-Champaign","Multiple Sclerosis"
675,"Biogen","Multiple Sclerosis"
676,"University of the West of Scotland","Multiple Sclerosis"
677,"Oregon Health and Science University","Multiple Sclerosis"
678,"Sheba Medical Center","Multiple Sclerosis"
679,"Hasselt University","Multiple Sclerosis"
680,"University of Wisconsin, Madison","Multiple Sclerosis"
681,"Ottawa Hospital Research Institute","Multiple Sclerosis"
682,"University of Aarhus","Multiple Sclerosis"
683,"The Hospital for Sick Children","Multiple Sclerosis"
684,"Novartis Pharmaceuticals","Multiple Sclerosis"
685,"Rowan University","Multiple Sclerosis"
686,"University of Southern California","Multiple Sclerosis"
687,"MedDay Pharmaceuticals SA","Multiple Sclerosis"
688,"MedDay Pharmaceuticals SA","Multiple Sclerosis"
689,"Biogen","Multiple Sclerosis"
690,"Yale University","Multiple Sclerosis"
691,"Mapi Pharma Ltd.","Multiple Sclerosis"
692,"Örebro County Council","Multiple Sclerosis"
693,"Biogen","Multiple Sclerosis"
694,"Genzyme, a Sanofi Company","Multiple Sclerosis"
695,"Immune Response BioPharma, Inc.","Multiple Sclerosis"
696,"StemGenex","Multiple Sclerosis"
697,"University of Colorado, Boulder","Multiple Sclerosis"
698,"Immune Response BioPharma, Inc.","Multiple Sclerosis"
699,"Clinique Neuro-Outaouais","Multiple Sclerosis"
700,"University of Southern Denmark","Multiple Sclerosis"
701,"University Hospital, Bordeaux","Multiple Sclerosis"
702,"Stony Brook University","Multiple Sclerosis"
703,"Turku University Hospital","Multiple Sclerosis"
704,"Biogen","Multiple Sclerosis"
705,"NHS Greater Glasgow and Clyde","Multiple Sclerosis"
706,"Fondazione Don Carlo Gnocchi Onlus","Multiple Sclerosis"
707,"Bayer","Multiple Sclerosis"
708,"Yale University","Multiple Sclerosis"
709,"Rennes University Hospital","Multiple Sclerosis"
710,"EMD Serono","Multiple Sclerosis"
711,"University of Washington","Multiple Sclerosis"
712,"Queen Mary University of London","Multiple Sclerosis"
713,"McMaster University","Multiple Sclerosis"
714,"University of South Florida","Multiple Sclerosis"
715,"Academic MS Center Limburg","Multiple Sclerosis"
716,"University of Calgary","Multiple Sclerosis"
717,"Theodore R. Brown, MD MPH","Multiple Sclerosis"
718,"Claudio Gobbi","Multiple Sclerosis"
719,"Kessler Foundation","Multiple Sclerosis"
720,"Universidad de Granada","Multiple Sclerosis"
721,"University of Edinburgh","Multiple Sclerosis"
722,"Biogen","Multiple Sclerosis"
723,"Sanofi","Multiple Sclerosis"
724,"Pfizer","Multiple Sclerosis"
725,"Wake Forest University Health Sciences","Multiple Sclerosis"
726,"Translational Biosciences","Multiple Sclerosis"
727,"Kessler Foundation","Multiple Sclerosis"
728,"NYU Langone Health","Multiple Sclerosis"
729,"University at Buffalo","Multiple Sclerosis"
730,"University of Washington","Multiple Sclerosis"
731,"Louisiana State University Health Sciences Center in New Orleans","Multiple Sclerosis"
732,"Lille Catholic University","Multiple Sclerosis"
733,"State University of New York at Buffalo","Multiple Sclerosis"
734,"Universitätsklinikum Hamburg-Eppendorf","Multiple Sclerosis"
735,"OSF Healthcare System","Multiple Sclerosis"
736,"University of Illinois at Urbana-Champaign","Multiple Sclerosis"
737,"Rutgers, The State University of New Jersey","Multiple Sclerosis"
738,"University of Illinois at Urbana-Champaign","Multiple Sclerosis"
739,"Germans Trias i Pujol Hospital","Multiple Sclerosis"
740,"University Hospital, Toulouse","Multiple Sclerosis"
741,"Stanford University","Multiple Sclerosis"
742,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
743,"Providence Health & Services","Multiple Sclerosis"
744,"Carmel Medical Center","Multiple Sclerosis"
745,"University of Texas Southwestern Medical Center","Multiple Sclerosis"
746,"Tisch Multiple Sclerosis Research Center of New York","Multiple Sclerosis"
747,"North Bristol NHS Trust","Multiple Sclerosis"
748,"VA Office of Research and Development","Multiple Sclerosis"
749,"Ziv Hospital","Multiple Sclerosis"
750,"Terry L. Wahls","Multiple Sclerosis"
751,"Queen Margaret University","Multiple Sclerosis"
752,"Tanner Foundation for Multiple Sclerosis","Multiple Sclerosis"
753,"Aaron Miller","Multiple Sclerosis"
754,"Oregon Health and Science University","Multiple Sclerosis"
755,"University of Jordan","Multiple Sclerosis"
756,"Sanofi","Multiple Sclerosis"
757,"Novartis Pharmaceuticals","Multiple Sclerosis"
758,"Ottawa Hospital Research Institute","Multiple Sclerosis"
759,"Chaitanya Hospital, Pune","Multiple Sclerosis"
760,"University at Buffalo","Multiple Sclerosis"
761,"Novartis Pharmaceuticals","Multiple Sclerosis"
762,"Assistance Publique - Hôpitaux de Paris","Multiple Sclerosis"
763,"Centre Hospitalier Universitaire de Nice","Multiple Sclerosis"
764,"University of British Columbia","Multiple Sclerosis"
765,"Biogen","Multiple Sclerosis"
766,"Sanofi","Multiple Sclerosis"
767,"Antonio Uccelli","Multiple Sclerosis"
768,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
769,"University at Buffalo","Multiple Sclerosis"
770,"Fundación para la Lucha contra las Enfermedades Neurológicas de la Infancia","Multiple Sclerosis"
771,"Kessler Foundation","Multiple Sclerosis"
772,"University of Colorado, Denver","Multiple Sclerosis"
773,"University of Illinois at Urbana-Champaign","Multiple Sclerosis"
774,"Wayne State University","Multiple Sclerosis"
775,"Brown, Theodore R., M.D., MPH","Multiple Sclerosis"
776,"Oregon Health and Science University","Multiple Sclerosis"
777,"University of Illinois at Chicago","Multiple Sclerosis"
778,"Centre Hospitalier Universitaire de Nīmes","Multiple Sclerosis"
779,"University of Nebraska","Multiple Sclerosis"
780,"Simnad, Virginia, M.D.","Multiple Sclerosis"
781,"University of Nottingham","Multiple Sclerosis"
782,"GeNeuro Innovation SAS","Multiple Sclerosis"
783,"Acorda Therapeutics","Multiple Sclerosis"
784,"GlaxoSmithKline","Multiple Sclerosis"
785,"University of Texas Southwestern Medical Center","Multiple Sclerosis"
786,"Bayer","Multiple Sclerosis"
787,"Catherine Siengsukon, PT, PhD","Multiple Sclerosis"
788,"Ohio State University","Multiple Sclerosis"
789,"Mazandaran University of Medical Sciences","Multiple Sclerosis"
790,"Institute for Neurodegenerative Disorders","Multiple Sclerosis"
791,"Bayer","Multiple Sclerosis"
792,"University Hospital, Basel, Switzerland","Multiple Sclerosis"
793,"Vaccinex Inc.","Multiple Sclerosis"
794,"The Cleveland Clinic","Multiple Sclerosis"
795,"AlJohara M AlQuaiz, M.D.","Multiple Sclerosis"
796,"University of Aarhus","Multiple Sclerosis"
797,"Brown, Theodore R., M.D., MPH","Multiple Sclerosis"
798,"Andalusian Initiative for Advanced Therapies - Fundación Pública Andaluza Progreso y Salud","Multiple Sclerosis"
799,"Karolinska Institutet","Multiple Sclerosis"
800,"Duke University","Multiple Sclerosis"
801,"Nantes University Hospital","Multiple Sclerosis"
802,"Hasselt University","Multiple Sclerosis"
803,"Cambridge University Hospitals NHS Foundation Trust","Multiple Sclerosis"
804,"Bastyr University","Multiple Sclerosis"
805,"Teva Branded Pharmaceutical Products R&D, Inc.","Multiple Sclerosis"
806,"Bayer","Multiple Sclerosis"
807,"Bastyr University","Multiple Sclerosis"
808,"GeNeuro Innovation SAS","Multiple Sclerosis"
809,"University at Buffalo","Multiple Sclerosis"
810,"Seah Lim M.D.","Multiple Sclerosis"
811,"Clinique Neuro-Outaouais","Multiple Sclerosis"
812,"University of Southern Denmark","Multiple Sclerosis"
813,"Assistance Publique - Hôpitaux de Paris","Multiple Sclerosis"
814,"Charite University, Berlin, Germany","Multiple Sclerosis"
815,"Saint Francis Care","Multiple Sclerosis"
816,"GeNeuro Innovation SAS","Multiple Sclerosis"
817,"Hugo W. Moser Research Institute at Kennedy Krieger, Inc.","Multiple Sclerosis"
818,"PD Dr. Andrew Chan","Multiple Sclerosis"
819,"John F. Foley, MD","Multiple Sclerosis"
820,"Samuel Forrester Hunter, MD, PhD","Multiple Sclerosis"
821,"Novartis Pharmaceuticals","Multiple Sclerosis"
822,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
823,"State University of New York at Buffalo","Multiple Sclerosis"
824,"McGill University","Multiple Sclerosis"
825,"GW Pharmaceuticals Ltd.","Multiple Sclerosis"
826,"GW Pharmaceuticals Ltd.","Multiple Sclerosis"
827,"Imperial College London","Multiple Sclerosis"
828,"GW Pharmaceuticals Ltd.","Multiple Sclerosis"
829,"Biogen","Multiple Sclerosis"
830,"Oregon Health and Science University","Multiple Sclerosis"
831,"University at Buffalo","Multiple Sclerosis"
832,"University of Southern California","Multiple Sclerosis"
833,"Rutgers, The State University of New Jersey","Multiple Sclerosis"
834,"Novartis Pharmaceuticals","Multiple Sclerosis"
835,"Örebro County Council","Multiple Sclerosis"
836,"University of Zurich","Multiple Sclerosis"
837,"Case Western Reserve University","Multiple Sclerosis"
838,"Case Western Reserve University","Multiple Sclerosis"
839,"University of Colorado, Denver","Multiple Sclerosis"
840,"Biogen","Multiple Sclerosis"
841,"Mallinckrodt","Multiple Sclerosis"
842,"Carmel Medical Center","Multiple Sclerosis"
843,"MSDx, Inc.","Multiple Sclerosis"
844,"Almirall, S.A.","Multiple Sclerosis"
845,"Acorda Therapeutics","Multiple Sclerosis"
846,"MorphoSys AG","Multiple Sclerosis"
847,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
848,"Vrije Universiteit Brussel","Multiple Sclerosis"
849,"Biogen","Multiple Sclerosis"
850,"Novartis Pharmaceuticals","Multiple Sclerosis"
851,"Finnish MS Society","Multiple Sclerosis"
852,"Bayer","Multiple Sclerosis"
853,"Biogen","Multiple Sclerosis"
854,"Synthon BV","Multiple Sclerosis"
855,"Sanofi","Multiple Sclerosis"
856,"Biogen","Multiple Sclerosis"
857,"Biogen","Multiple Sclerosis"
858,"Carmel Medical Center","Multiple Sclerosis"
859,"University Hospital of Ferrara","Multiple Sclerosis"
860,"GlaxoSmithKline","Multiple Sclerosis"
861,"University of South Florida","Multiple Sclerosis"
862,"Brown, Theodore R., M.D., MPH","Multiple Sclerosis"
863,"Louisiana State University Health Sciences Center in New Orleans","Multiple Sclerosis"
864,"AB Science","Multiple Sclerosis"
865,"University at Buffalo Neurosurgery","Multiple Sclerosis"
866,"Hadassah Medical Organization","Multiple Sclerosis"
867,"Novartis Pharmaceuticals","Multiple Sclerosis"
868,"Biogen","Multiple Sclerosis"
869,"Charite University, Berlin, Germany","Multiple Sclerosis"
870,"University Hospital of Ferrara","Multiple Sclerosis"
871,"Novartis Pharmaceuticals","Multiple Sclerosis"
872,"University of Turku","Multiple Sclerosis"
873,"GlaxoSmithKline","Multiple Sclerosis"
874,"GlaxoSmithKline","Multiple Sclerosis"
875,"Stony Brook University","Multiple Sclerosis"
876,"University of Plymouth","Multiple Sclerosis"
877,"Charite University, Berlin, Germany","Multiple Sclerosis"
878,"Claudio Gobbi","Multiple Sclerosis"
879,"Biogen","Multiple Sclerosis"
880,"Sanofi","Multiple Sclerosis"
881,"Mount Sinai Rehabilitation Hospital","Multiple Sclerosis"
882,"University of Chicago","Multiple Sclerosis"
883,"GlaxoSmithKline","Multiple Sclerosis"
884,"University of Iowa","Multiple Sclerosis"
885,"University Hospital, Montpellier","Multiple Sclerosis"
886,"Royan Institute","Multiple Sclerosis"
887,"Genetic Disease Investigators","Multiple Sclerosis"
888,"Biogen","Multiple Sclerosis"
889,"XenoPort, Inc.","Multiple Sclerosis"
890,"Brown, Theodore R., M.D., MPH","Multiple Sclerosis"
891,"Bayer","Multiple Sclerosis"
892,"Columbia University","Multiple Sclerosis"
893,"University of Turku","Multiple Sclerosis"
894,"Hicks, Audrey, Ph.D.","Multiple Sclerosis"
895,"Kessler Foundation","Multiple Sclerosis"
896,"Novartis Pharmaceuticals","Multiple Sclerosis"
897,"Central Texas Neurology Consultants","Multiple Sclerosis"
898,"John F. Foley, MD","Multiple Sclerosis"
899,"Acorda Therapeutics","Multiple Sclerosis"
900,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
901,"Elan Pharmaceuticals","Multiple Sclerosis"
902,"University of Dublin, Trinity College","Multiple Sclerosis"
903,"Örebro County Council","Multiple Sclerosis"
904,"Novartis Pharmaceuticals","Multiple Sclerosis"
905,"Novartis","Multiple Sclerosis"
906,"Hasselt University","Multiple Sclerosis"
907,"Hasselt University","Multiple Sclerosis"
908,"Charite University, Berlin, Germany","Multiple Sclerosis"
909,"Biogen","Multiple Sclerosis"
910,"CENTOGENE GmbH Rostock","Multiple Sclerosis"
911,"Euromedic Specialist Clinics, Poland","Multiple Sclerosis"
912,"VA Office of Research and Development","Multiple Sclerosis"
913,"Biogen","Multiple Sclerosis"
914,"Albert Saiz","Multiple Sclerosis"
915,"EMD Serono","Multiple Sclerosis"
916,"NYU Langone Health","Multiple Sclerosis"
917,"The Centre for Advanced Research & Development, India","Multiple Sclerosis"
918,"University of California, Los Angeles","Multiple Sclerosis"
919,"Isfahan University of Medical Sciences","Multiple Sclerosis"
920,"National Institute of Neurological Disorders and Stroke (NINDS)","Multiple Sclerosis"
921,"EMD Serono","Multiple Sclerosis"
922,"Carmel Medical Center","Multiple Sclerosis"
923,"Community Care Physicians, P.C.","Multiple Sclerosis"
924,"Millennium Pharmaceuticals, Inc.","Multiple Sclerosis"
925,"VA Office of Research and Development","Multiple Sclerosis"
926,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
927,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
928,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
929,"Biogen","Multiple Sclerosis"
930,"Bayer","Multiple Sclerosis"
931,"Biogen","Multiple Sclerosis"
932,"Melinda Magyari","Multiple Sclerosis"
933,"Teva Neuroscience, Inc.","Multiple Sclerosis"
934,"Biogen","Multiple Sclerosis"
935,"University Hospital, Bordeaux","Multiple Sclerosis"
936,"Elan Pharmaceuticals","Multiple Sclerosis"
937,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
938,"University of British Columbia","Multiple Sclerosis"
939,"University of British Columbia","Multiple Sclerosis"
940,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
941,"Charite University, Berlin, Germany","Multiple Sclerosis"
942,"S. Andrea Hospital","Multiple Sclerosis"
943,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
944,"Ottawa Hospital Research Institute","Multiple Sclerosis"
945,"Hicks, Audrey, Ph.D.","Multiple Sclerosis"
946,"Actelion","Multiple Sclerosis"
947,"Manish Mehta, MD","Multiple Sclerosis"
948,"EMD Serono","Multiple Sclerosis"
949,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
950,"Ono Pharma USA Inc","Multiple Sclerosis"
951,"National Multiple Sclerosis Society","Multiple Sclerosis"
952,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
953,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
954,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
955,"Bayer","Multiple Sclerosis"
956,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
957,"St. Olavs Hospital","Multiple Sclerosis"
958,"University Hospital, Caen","Multiple Sclerosis"
959,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
960,"University of Chicago","Multiple Sclerosis"
961,"Biogen","Multiple Sclerosis"
962,"University of South Florida","Multiple Sclerosis"
963,"Rennes University Hospital","Multiple Sclerosis"
964,"Haukeland University Hospital","Multiple Sclerosis"
965,"University of Southern California","Multiple Sclerosis"
966,"EMD Serono","Multiple Sclerosis"
967,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
968,"Bayer","Multiple Sclerosis"
969,"University of Washington","Multiple Sclerosis"
970,"VA Office of Research and Development","Multiple Sclerosis"
971,"Wayne State University","Multiple Sclerosis"
972,"Washington University School of Medicine","Multiple Sclerosis"
973,"EMD Serono","Multiple Sclerosis"
974,"Actelion","Multiple Sclerosis"
975,"Carmel Medical Center","MULTIPLE SCLEROSIS"
976,"Portland VA Medical Center","Multiple Sclerosis"
977,"University of Nebraska","Multiple Sclerosis"
978,"University at Buffalo","Multiple Sclerosis"
979,"University of Missouri, Kansas City","Multiple Sclerosis"
980,"University of North Carolina, Charlotte","Multiple Sclerosis"
981,"Bayer","Multiple Sclerosis"
982,"EMD Serono","Multiple Sclerosis"
983,"University of Florida","Multiple Sclerosis"
984,"Neurologique Foundation, Inc.","Multiple Sclerosis"
985,"University of Washington","Multiple Sclerosis"
986,"University Hospital Inselspital, Berne","Multiple Sclerosis"
987,"University Hospital, Toulouse","Multiple Sclerosis"
988,"Maastricht University Medical Center","Multiple Sclerosis"
989,"Merck KGaA, Darmstadt, Germany","Multiple Sclerosis"
990,"University at Buffalo","Multiple Sclerosis"
991,"University at Buffalo","Multiple Sclerosis"
992,"Bayer","Multiple Sclerosis"
993,"MidAmerica Neuroscience Research Foundation at Rowe Neurology Institute","Multiple Sclerosis"
994,"Biogen","Multiple Sclerosis"
995,"Biogen","Multiple Sclerosis"
996,"Biogen","Multiple Sclerosis"
997,"Biogen","Multiple Sclerosis"
998,"Biogen","Multiple Sclerosis"
999,"Amphia Hospital","Multiple Sclerosis"
1000,"Mount Sinai Rehabilitation Hospital","Multiple Sclerosis"
