,Rank,NCTId,BriefTitle,SecondaryId,LeadSponsorName,LocationCountry
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Algeria
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Argentina
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Belgium
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Czechia
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Egypt
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,France
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Germany
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Greece
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Hungary
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Israel
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Kazakhstan
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Netherlands
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Portugal
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Saudi Arabia
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Tunisia
851,852,NCT01491100,Noninterventional Study Assessing Cognitive Function and Physical Activity in People With Multiple Sclerosis,BF1101,Bayer,Turkey
870,871,NCT01433250,"A Study to Evaluate the Safety, Tolerability and Efficacy of AIN457 in Patients With Relapsing-remitting Multiple Sclerosis",2011-001629-25,Novartis Pharmaceuticals,Czech Republic
870,871,NCT01433250,"A Study to Evaluate the Safety, Tolerability and Efficacy of AIN457 in Patients With Relapsing-remitting Multiple Sclerosis",2011-001629-25,Novartis Pharmaceuticals,Russian Federation
870,871,NCT01433250,"A Study to Evaluate the Safety, Tolerability and Efficacy of AIN457 in Patients With Relapsing-remitting Multiple Sclerosis",2011-001629-25,Novartis Pharmaceuticals,Ukraine
879,880,NCT01403376,Study to Investigate the Immune Response to Influenza Vaccine in Patients With Multiple Sclerosis on Teriflunomide,2011-001160-21|U1111-1115-2742,Sanofi,Austria
879,880,NCT01403376,Study to Investigate the Immune Response to Influenza Vaccine in Patients With Multiple Sclerosis on Teriflunomide,2011-001160-21|U1111-1115-2742,Sanofi,Canada
879,880,NCT01403376,Study to Investigate the Immune Response to Influenza Vaccine in Patients With Multiple Sclerosis on Teriflunomide,2011-001160-21|U1111-1115-2742,Sanofi,Germany
879,880,NCT01403376,Study to Investigate the Immune Response to Influenza Vaccine in Patients With Multiple Sclerosis on Teriflunomide,2011-001160-21|U1111-1115-2742,Sanofi,Russian Federation
879,880,NCT01403376,Study to Investigate the Immune Response to Influenza Vaccine in Patients With Multiple Sclerosis on Teriflunomide,2011-001160-21|U1111-1115-2742,Sanofi,Ukraine
890,891,NCT01354665,Depression and Fatigue in MS Patients Treated With Betaferon.,BF1012PL,Bayer,Poland
895,896,NCT01333501,Fingolimod Versus Interferon Beta 1b in Cognitive Symptoms,2010-023023-19,Novartis Pharmaceuticals,Germany
895,896,NCT01333501,Fingolimod Versus Interferon Beta 1b in Cognitive Symptoms,2010-023023-19,Novartis Pharmaceuticals,Italy
899,900,NCT01326715,Manganese-Enhanced Magnetic Resonance Imaging in Healthy Volunteers and People With Multiple Sclerosis,11-N-0116,National Institute of Neurological Disorders and Stroke (NINDS),United States
914,915,NCT01226745,Phase 2 Extension Trial in Patients With Relapsing-Remitting Multiple Sclerosis (RRMS),2010-018705-11,EMD Serono,United States
914,915,NCT01226745,Phase 2 Extension Trial in Patients With Relapsing-Remitting Multiple Sclerosis (RRMS),2010-018705-11,EMD Serono,Belgium
914,915,NCT01226745,Phase 2 Extension Trial in Patients With Relapsing-Remitting Multiple Sclerosis (RRMS),2010-018705-11,EMD Serono,Canada
914,915,NCT01226745,Phase 2 Extension Trial in Patients With Relapsing-Remitting Multiple Sclerosis (RRMS),2010-018705-11,EMD Serono,Czech Republic
914,915,NCT01226745,Phase 2 Extension Trial in Patients With Relapsing-Remitting Multiple Sclerosis (RRMS),2010-018705-11,EMD Serono,Germany
914,915,NCT01226745,Phase 2 Extension Trial in Patients With Relapsing-Remitting Multiple Sclerosis (RRMS),2010-018705-11,EMD Serono,Greece
914,915,NCT01226745,Phase 2 Extension Trial in Patients With Relapsing-Remitting Multiple Sclerosis (RRMS),2010-018705-11,EMD Serono,Japan
914,915,NCT01226745,Phase 2 Extension Trial in Patients With Relapsing-Remitting Multiple Sclerosis (RRMS),2010-018705-11,EMD Serono,Poland
914,915,NCT01226745,Phase 2 Extension Trial in Patients With Relapsing-Remitting Multiple Sclerosis (RRMS),2010-018705-11,EMD Serono,Russian Federation
914,915,NCT01226745,Phase 2 Extension Trial in Patients With Relapsing-Remitting Multiple Sclerosis (RRMS),2010-018705-11,EMD Serono,Spain
914,915,NCT01226745,Phase 2 Extension Trial in Patients With Relapsing-Remitting Multiple Sclerosis (RRMS),2010-018705-11,EMD Serono,Ukraine
915,916,NCT01226654,Quantitative Imaging and Proton Spectroscopy in Multiple Sclerosis,2R01NS029029-16A1,NYU Langone Health,United States
919,920,NCT01212094,Double Blind Combination of Rituximab by Intravenous and Intrathecal Injection Versus Placebo in Patients With Low-Inflammatory Secondary Progressive Multiple Sclerosis (RIVITaLISe),10-N-0212,National Institute of Neurological Disorders and Stroke (NINDS),United States
925,926,NCT01198132,A Multicentre Study of the Efficacy and Safety of Supplementary Treatment With Cholecalciferol in Patients With Relapsing Multiple Sclerosis Treated With Subcutaneous Interferon Beta-1a 44 µg 3 Times Weekly,2009-013695-46,"Merck KGaA, Darmstadt, Germany",France
929,930,NCT01184833,Evaluation of Risk Factors for Early Termination of Injection Treatment With Betaferon in Patients Suffering From Multiple Sclerosis,BF0813PL,Bayer,Poland
954,955,NCT01076595,"Prospective, Multicenter Non Interventional Study to Evaluate Adherence to Betaferon Over a 2 Years Period",BF0910FR,Bayer,France
967,968,NCT01031459,Telephone Interview of Patients That Participated in the the Pivotal Betaferon MS Trial.,20Y-LTF,Bayer,United States
967,968,NCT01031459,Telephone Interview of Patients That Participated in the the Pivotal Betaferon MS Trial.,20Y-LTF,Bayer,Canada
972,973,NCT01013350,Prospective Observational Long-term Safety Registry of Multiple Sclerosis Participants Who Have Participated in Cladribine Clinical Trials,2009-017978-21,EMD Serono,United States
980,981,NCT00963833,Study Evaluating Betaferons Safety and Tolerability In Pediatric Patients With Multiple Sclerosis,BF0802,Bayer,Austria
980,981,NCT00963833,Study Evaluating Betaferons Safety and Tolerability In Pediatric Patients With Multiple Sclerosis,BF0802,Bayer,Belgium
980,981,NCT00963833,Study Evaluating Betaferons Safety and Tolerability In Pediatric Patients With Multiple Sclerosis,BF0802,Bayer,Finland
980,981,NCT00963833,Study Evaluating Betaferons Safety and Tolerability In Pediatric Patients With Multiple Sclerosis,BF0802,Bayer,Germany
980,981,NCT00963833,Study Evaluating Betaferons Safety and Tolerability In Pediatric Patients With Multiple Sclerosis,BF0802,Bayer,Israel
980,981,NCT00963833,Study Evaluating Betaferons Safety and Tolerability In Pediatric Patients With Multiple Sclerosis,BF0802,Bayer,United Kingdom
991,992,NCT00928967,"Open, Multicentric, Prospective, Quality of Life Study in Multiple Sclerosis Patients",Daily Life Study|BF0610FR,Bayer,France
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,Belgium
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,Canada
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,Czech Republic
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,France
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,Germany
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,Greece
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,Hungary
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,Italy
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,Poland
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,Spain
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,Switzerland
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,Tunisia
0,1001,NCT00883337,A Study Comparing the Effectiveness and Safety of Teriflunomide and Interferon Beta-1a in Patients With Relapsing Multiple Sclerosis,2008-006226-34,Sanofi,United Kingdom
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Australia
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Austria
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Bahrain
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Belgium
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Canada
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Colombia
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Czech Republic
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Denmark
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Egypt
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,France
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Germany
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Greece
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Indonesia
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Israel
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Italy
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Jordan
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Kazakhstan
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,"Korea, Republic of"
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Kuwait
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Lebanon
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Mexico
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Netherlands
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Norway
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Oman
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Portugal
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Slovenia
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Spain
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Sweden
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Switzerland
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Taiwan
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,Thailand
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,United Arab Emirates
1,1002,NCT00882453,Physical Activity and Fatigue in Early Multiple Sclerosis (MS),BF0601|310721,Bayer,United Kingdom
2,1003,NCT00873340,Physical Disability in Patients Treated With Betaferon,BF0712CO|2007- 001 Col,Bayer,Colombia
12,1013,NCT00811902,"Efficacy, Safety, and Tolerability of Nerispirdine in Patients With Multiple Sclerosis",2008-001999-67,Sanofi,United States
12,1013,NCT00811902,"Efficacy, Safety, and Tolerability of Nerispirdine in Patients With Multiple Sclerosis",2008-001999-67,Sanofi,Canada
12,1013,NCT00811902,"Efficacy, Safety, and Tolerability of Nerispirdine in Patients With Multiple Sclerosis",2008-001999-67,Sanofi,Finland
12,1013,NCT00811902,"Efficacy, Safety, and Tolerability of Nerispirdine in Patients With Multiple Sclerosis",2008-001999-67,Sanofi,France
12,1013,NCT00811902,"Efficacy, Safety, and Tolerability of Nerispirdine in Patients With Multiple Sclerosis",2008-001999-67,Sanofi,Germany
12,1013,NCT00811902,"Efficacy, Safety, and Tolerability of Nerispirdine in Patients With Multiple Sclerosis",2008-001999-67,Sanofi,Norway
12,1013,NCT00811902,"Efficacy, Safety, and Tolerability of Nerispirdine in Patients With Multiple Sclerosis",2008-001999-67,Sanofi,Spain
13,1014,NCT00811395,Long Term Safety of Teriflunomide When Added to Interferon-Beta or Glatiramer Acetate in Patients With Multiple Sclerosis,HMR1726D/2005|2007-003997-24,Sanofi,United States
13,1014,NCT00811395,Long Term Safety of Teriflunomide When Added to Interferon-Beta or Glatiramer Acetate in Patients With Multiple Sclerosis,HMR1726D/2005|2007-003997-24,Sanofi,Austria
13,1014,NCT00811395,Long Term Safety of Teriflunomide When Added to Interferon-Beta or Glatiramer Acetate in Patients With Multiple Sclerosis,HMR1726D/2005|2007-003997-24,Sanofi,Canada
13,1014,NCT00811395,Long Term Safety of Teriflunomide When Added to Interferon-Beta or Glatiramer Acetate in Patients With Multiple Sclerosis,HMR1726D/2005|2007-003997-24,Sanofi,Germany
13,1014,NCT00811395,Long Term Safety of Teriflunomide When Added to Interferon-Beta or Glatiramer Acetate in Patients With Multiple Sclerosis,HMR1726D/2005|2007-003997-24,Sanofi,Italy
13,1014,NCT00811395,Long Term Safety of Teriflunomide When Added to Interferon-Beta or Glatiramer Acetate in Patients With Multiple Sclerosis,HMR1726D/2005|2007-003997-24,Sanofi,Spain
13,1014,NCT00811395,Long Term Safety of Teriflunomide When Added to Interferon-Beta or Glatiramer Acetate in Patients With Multiple Sclerosis,HMR1726D/2005|2007-003997-24,Sanofi,United Kingdom
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,United States
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Austria
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Canada
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Chile
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Czech Republic
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Denmark
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Estonia
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Finland
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,France
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Germany
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Italy
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Netherlands
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Norway
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Poland
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Portugal
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Russian Federation
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Sweden
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Switzerland
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Turkey
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,Ukraine
14,1015,NCT00803049,Long Term Safety and Efficacy Study of Teriflunomide 7 mg or 14 mg in Patients With Relapsing-Remitting Multiple Sclerosis,2006-003361-14,Sanofi,United Kingdom
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,United States
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Australia
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Austria
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Belarus
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Belgium
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Canada
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Chile
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,China
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Czech Republic
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Estonia
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,France
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Germany
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Greece
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Mexico
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Netherlands
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Philippines
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Poland
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Romania
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Slovakia
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Spain
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Sweden
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Thailand
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Tunisia
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Turkey
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,Ukraine
25,1026,NCT00751881,An Efficacy Study of Teriflunomide in Participants With Relapsing Multiple Sclerosis,2007-004452-36,Sanofi,United Kingdom
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,United States
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Australia
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Austria
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Bulgaria
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Canada
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Chile
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Czech Republic
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Denmark
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Estonia
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Finland
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,France
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Germany
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Hungary
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Lithuania
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Mexico
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Poland
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Romania
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Russian Federation
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Turkey
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,Ukraine
49,1050,NCT00622700,Phase III Study With Teriflunomide Versus Placebo in Patients With First Clinical Symptom of Multiple Sclerosis,HMR1726D-3005|2006-001152-12,Sanofi,United Kingdom
51,1052,NCT00618267,"ATP Expression in Lymphocytes of MS Patients by Means of ""ImmuKnow®"" Assay.",Biogen Idec 014-07-NAT,Biogen,United States
